SL No,Customer Type,Customer Name,About Customer,Industry,Service Area,Project/Case Study Title,Short Description,Key Words,Tech Stacks,SharePoint Link
159,enterprise,sony,a media & entertainment company providing television rating points (trp) services ,media/entertainment,workflow automation & sap integration,workflow automation and optimization,"the client was looking for automation of various business processes which were manual and semi-automated for tv ad sales. an integrated workspace with apps that integrated seamlessly with each other was needed. collaborative and digital apps for travel management, travel reimbursement, and expense claim management were required. nitor built a completely digitalized solution which automated all the required workflows reducing the implementation timeline and additional features such as customized email notifications, daily digest/reminders for approvers, microsoft ad integration for admin and approvers, finance reports for reconciliation and web admin for ease of user management.�","media, entertainment,dealsheet,  workflow automation, sap integration","sharepoint 2016, provider-hosted app, angular 1, c#, .net, sql 2019, sap, sales force, mq, aws, s3",sn159_sony_case study_workflow automation & optimization.pptx
160,enterprise,sony,a media & entertainment company providing television rating points (trp) services ,media/entertainment,outsystems,music app development,"client wanted to build an intuitive mobile application for core production team to enable them to retrieve broadcasting and digital rights of content at run time. earlier this was manual process which involved manually searching the rights through a very basic web ui. also, one of the core requirements was that music content should be detected through songs played on other app or speech/humming inputs. nitor team developed android + ios application using outsystems by not just integrating rightsline api but also providing rich ui/ux services to make highly intuitive ui for music detection through humming and speech inputs. apart from this there were value added features such as role based authentication, customization of fields, web admin and microsoft ad integration for internal users.","aws, outsystems, music app, android, ios","aws, outsystems",sn160_sony_case study_music app development.pptx
161,enterprise,sony,a media & entertainment company providing television rating points (trp) services ,media/entertainment,iot,barometer � iot solution for trps ,"client wanted a solution for trp (television rating point) based on places, time, and demography. nitor designed an iot based solution to scale and serve millions of meters uploading and storing raw data in the database.","iot, python, angular","python/django, angularjs, django rest framework, postgres, celery",sn161_sony_case study_barometer � iot solution for trps.pptx
162,enterprise,sony,a media & entertainment company providing television rating points (trp) services ,media/entertainment,web application,hyperledger - copyright transfer,"nitor successfully addressed copyright transfer challenges, eliminating copyright infringement issues. it enabled easy royalty management, ensuring a tamper-proof record of song copyrights. built on hyperledger fabric as a permissioned network deployed on aws, it restricted access to authorized members, preventing any unauthorized transactions. this approach ensured high performance, even with limited network accessibility.",copyright transfer,"hyperledger fabric 2.2.0, docker, hyperledger explorer, go lang, react",sn162_sony_case study_hyperledger - copyright transfer.pptx
163,enterprise,varroc,"global tier-1 automotive component group, is present in over 35 locations pan india and has over 2500 vendors",manufacturing,ocr,ocr based invoice management system,"during invoice processing, the client�s accounting department was facing challenges while manually entering an extensive amount of data. nitor designed and deployed a robust ocr based invoice management solution to achieve overall process effectiveness, manage more than 1,50,000 invoices and enter the required data into their existing erp on a monthly basis","powerapps, sharepoint, power automate","power automate suite, office 365, powerapps, sharepoint, python, tesseract / ms form, recognizer / aws textract�",sn163_varroc_case study_ocr based invoice management system.pptx
164,enterprise,varroc,"global tier-1 automotive component group, is present in over 35 locations pan india and has over 2500 vendors",manufacturing,blockchain,traceability of automobile parts,"customer was facing the issue of counterfeit parts in the car which makes them ineligible for insurance and all details of parts were not available, making users uncertain about purchasing parts. nitor provided a substrate-based blockchain solution which provided smart contracts to handle their business logic, and it worked on cross-network vendors. their transaction logic was built in the ink smart contract framework.","docker, react, blockchain","substrate framework3, docker, react, rust",sn164_varroc_case study_traceability of automobile parts.pptx
165,isv,wheelhouse analytics/envestnet,leading data aggregation and data analytics platform provider,financial services,mobile application,mobile application to check product availability,"customer wanted to have mobile� application(android/ios) for sales team which would allow to check product availability depending on firm, product & advisor. nitor team proposed a solution where�application had filters, search, mark as favorite functionalities which made checking the availability of a specific product from a huge range of around 50000 products much simpler.","react, javascript, mobile application","framework � react native cli, language - java script, ide - visual studio code",sn165_wheelhouse analytics (envestnet)_case study_mobile application to check product availability.pptx
166,enterprise,tata reality & infrastructure ltd (tata housing),one of the fastest growing company that focuses on developing and managing real estate and infrastructure projects,real estate,outsystems,property management application,"the client desired to create a property management application that could�assist hni (high net-worth individuals) who manages their own premium�properties across pan india. nitor developed a mobile application that provided the client with a seamless property management experience, enabling both owner & tenant to complete tedious tasks with just a few clicks.",outsystems,outsystems,sn166_tata realty & infrastructure ltd. (tata housing)_case study_property management application.pptx
167,isv,nutech,global oilfield service company build a home-grown high-tech product.,oil and gas,product engineering,rock formation data visualization,"the client wanted to get rid of yesterday�s software and ensure scalability with increasing market demand. nitor built a home-grown fully customized system specific to the customer's needs which included interactive map window to show predefined vector and raster layers, accurate comparison between datasets, customized layer creation with ability to manually draw vectors and handle large volume of data on the browser","data visualization, product engineering, aws, azure, devops.","angular, material ui, leaflet, d3 js, nodejs, geoserver, arcgis, aws rds for postgresql, postgis, aws, azure, devops.",sn167_nutech_case study_rock formation data visualization.pptx
168,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,product engineering,product modernization for claim processing system,"client wanted to migrate its legacy application built using using silverlight and .net to latest technology to provide enhanced performance to the users and support across all browsers. nitor developed a rest based application using react & open-source .net core to cater industry's standard application development, performance, integration and deployment strategy.","legacy application, rest-based application","react, .net core, sql server, mobx, signal-r, msmq / rabbit, windows services, aws cloud�services, lambda, dynamodb, api gateway, sqs",sn168_cedar gate technologies_case study_product modernization for claim processing system.pptx
169,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,testing,"manual, automation and performance testing",client wanted to seek qa of the pms application that was modernized from silverlight to html 5 along with improvement in performance. nitor adopted quality-driven approach along with automation efforts on api testing using soapui. we also deployed tfs test management tool along with jira as defect management tool. this helped the client cover 40% workflows due to api test automation and saved manual testing efforts,"pms application, performance improvement, test management, defect management, test automation","tfs, jira, soapui, jmeter, vsts ","sn169_cedar gate technologies_case study_manual, automation and performance testing.pptx"
170,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,product engineering,product enhancement and integration with patient portal and ehr system,"client was seeking interface development using biztalk 2010, application development using scheduling system & billing administration, and qa of interface testing between the applications. nitor developed a biztalk server which helped helped patient portal, pms and emr to exchange information between each other. we also developed the application of scheduling systems with features and functionality for the patient to add/modify demographic, insurance details and appointment details in pm system.","interface development, application development, scheduling system, billing system, pms, emr",".net, microsoft-biztalk",sn170_cedar gate technologies_case study_product enhancement and integration with patient portal and ehr system.pptx
171,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,application development,billing management system,"client wanted to develop a crm application and integrate it with edi while doing qa & testing on the same. nitor developed the application by creating customized web forms as per business need for managing claim creation, bundled packages, billing / payment and integrated it with edi file processing for getting claims and remittance information.","crm application, edi, customized web forms, claim creation, payment, billing","microsoft dynamic 365, microsoft biztalk server, telerik tool, microsoft .net",sn171_cedar gate technologies_case study_billing management system.pptx
172,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,application development,population health management solution,"client wanted to establish connections with payer organizations & pms applications to assess patient�s clinical & claim data for synchronization (june 2021 � sept 2021) and develop patient portal with patient access & provider directory api integration with various ehrs integration & wearable device integration (aug 2022 - �.). nitor designed a database including third-party empi integration (enterprise master patient identifier) in multi-tenant mode to cater to the data store for multiple payers & provider networks information. the patient portal development & integration with wearable device data utilizing smart of fhir standards along with patient access and provider directory apis integration created seamless patient-provider collaboration to share discharge summary, lab results, allergies, and medical information etc.","payer organization, pms application, data synchronization, wearable device, discharge summary, lab results, ehr","react / .net core, azure, redis / rabbitmq, docker",sn172_cedar gate technologies_case study_popoulation health management solution.pptx
173,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,mobile application development,fhir integration of pms (ipad version) and mobile patient portal,client wanted to extend existing pm web to ipad version for clinicians and integration with patient portal mobile. nitor introduced the eai platform & integrated the patient portal mobile version and pms to exchange information with each other. this helped the operational staff to have accurate detail on patient�s appointment & demographics,"pms application, patient portal mobile, eai platform, patient's appointment & demographics","json, mongo db, angular.js, spring mvc, bootstrap",sn173_cedar gate technologies_case study_fhir integration of pms (ipad version) and mobile patient portal.pptx
174,isv,cedar gate technologies,"client delivers a collaborative value-based care platform enabling all constituents to design, build, and manage alternative payment models.�",it services & consulting,application integration,real-time edi integration,client is facing data quality issues post its platform integration with edi based ar/ap or similar lob systems. hence nitor designed a centralized middleware which was configurable and scalable to handle real time or batch time edi data and expose it to other systems via api and other standard interfaces. this resulted in data quality and other business rules easy to implement at scale and speed.,"data quality, platform integraton, lob systems, centralized middleware, edi data","aws lambda, s3, aws kinesis, kinesis firehose, kinesis analytics aws glue, redshift, aws rds, api gateway aws iam roles",sn174_cedar gate technologies_case study_real-time edi integration.pptx
175,isv,conduent,"client delivers digital business solutions and services spanning the commercial, government and transportation spectrum",it services & consulting,application development,liferay portal,client wanted to create multiple portals for ui which will give multiple stats as per customer requirements. nitor designed separate portal for each module of transaction to manage it independently as per customer requirements. we called soa services independently from required portal for getting transaction status.,"portal development, ui, stats, soa services","liferay, spring framework, oracle soa, java server pages, mysql, high charts, prime face",sn175_conduent_case study_liferay portal.pptx
176,isv,conduent,"client delivers digital business solutions and services spanning the commercial, government and transportation spectrum",it services & consulting,application development,analytical insights platform for call conversations,"client wanted a platform of analytical insights to get an answer to some questions in the conversation between agents and customers. nitor provided an analytics platform of meaningful and valuable insights by analyzing the calls and running the ai / ml models on the call transcripts. this offered a holistic view of how a company engages customers from all the channels of communication to provide good customer service, customer experience, and customer satisfaction.","analytical platform & insights, call transcripts","azure functions, python, .net core, azure analysis service, power bi, azure synapse analytic, azure data factory, azure cosmos db, azure event hubs",sn176_conduent_case study_analytical insights platform for call conversations.pptx
177,isv,conduent,"client delivers digital business solutions and services spanning the commercial, government and transportation spectrum",it services & consulting,devops,high availability infrastructure on the azure portal ,"client was following an old time-consuming process to create and maintain builds and wanted to improve development and operation process to enhance delivery speed. nitor developed a ci/cd of repositories to increase delivery speed of development and operations, and migrated applications from on-premise servers to the cloud platform and implemented disaster recovery infrastructure.","operation process, delivery speed, ci/cd repositories, application migration, cloud platform, disaster recovery infrastructure","azure cloud platform, azure devops, oracle soa, java, azure sql database",sn177_conduent_case study_high availability infrastructure on the azure portal.pptx
178,isv,conduent,"client delivers digital business solutions and services spanning the commercial, government and transportation spectrum",it services & consulting,application development,connectpay benefit wallet integration,"client wanted to create a microservice-based java application for account validation services(avs) and ach services, and manage and deploy the application to the production server. nitor designed separate modules for each component within the application for modular microservice structure and made necessary design changes for both avs and ach as required.","microservice-based java application, application deployment, production server","spring boot framework, maria db, topic mq, oracle soa",sn178_conduent_case study_connectpay benefit wallet integration.pptx
179,isv,qentinel (now a part of copado),"client is a cloud-based, ai-driven, low-code, test automation platform",software development,product engineering,integration engine for project management tools and code repositories,"customer was looking for a scalable solution which can be deployed on cloud and provide as saas while integrating it with azure devops (server and online), jira (cloud and hosted), bitbucket (cloud and hosted) for data collection. nitor converted existing data collection services into a mono-repo structure to achieve highest reusability and proposed a modular approach for saas core module. this helped in data collection from project management tool, code repositories and generate meaningful insights on project management and code quality. ","cloud, saas. data collection, mono-repo structure, code repositories, code quality","nodejs, typescript, kubernetes cron jobs, aws, dynamodb, amazon s3, aws kms, postgres, jenkins",sn179_qentinel_case study_integration engine for project management tools & code repositories.pptx
180,isv,envista,"client is the leading supply chain and enterprise consulting firm and the premier provider of supply chain technology & strategy services, material handling automation, robotics, etc.",supply chain,mobile application development,hybrid mobile app development ,"client wanted to develop unified app in android and ios using single code base to manage orders, fulfillments and inventory management in single app. nitor engaged with the client & developed android and ios based mobile app using flutter framework. the application provided functionalities such as orders (item lookup, cart), fulfillment (pick orders), inventory management.","mobile application, orders management, inventory management","android studio, flutter, dart, vs code, xcode, nodejs, angularjs, elasticsearch, redis,postgres, dynamodb",sn180_envista_case study_hybrid mobile app development.pptx
181,isv,envista,"client is the leading supply chain and enterprise consulting firm and the premier provider of supply chain technology & strategy services, material handling automation, robotics, etc.",supply chain,web application development,order management system -  web app development,"client wanted to develop a web application for the call center team to create orders, manage orders, fulfillments, and inventory management. nitor developed the order management systems (oms) web application using angular & primeng framework with features like order level discount, apply promo code, gift wraps, language support, etc.","web application, order management system (oms)","angular 13, primeng, vs code, angular.js, java (at client side), mongodb",sn181_envista_case study_order management system.pptx
182,enterprise,hme,"client is a global leader that designs, manufactures, sells & services hospitality & speciality communication systems for a variety of niche markets in over 140 countries worldwide.",electrical appliance manufacturing,power platform,comprehensive data consulting for a leading electronics manufacturer,"client wanted a self-servicing bi portal for all types of reporting (operational, canned, etc.) by consolidating data from their wide-ranging business functions & serve the need of analytics. nitor performed data integration process for elt & cleansed off inconsistent data from different source systems. we introduced row-level security and achieved data security in power bi's saas-based licensing model.","self-servicing bi portal, elt, inconsistent data","msbi suit, azure data factory, azure analysis services azure data lake, power bi, azure database, azure databricks",sn182_hme_case study_comprehensive data consulting.pptx
183,enterprise,hme,"client is a global leader that designs, manufactures, sells & services hospitality & speciality communication systems for a variety of niche markets in over 140 countries worldwide.",electrical appliance manufacturing,power platform,data migration and bi platform,client wanted to get rid of its legacy applications which was built in sharepoint 2013 and build an enterprise analytics and serve the need of all types of reporting. nitor migrated the sharepoint on-prem data to sharepoint online to seamlessly integrate microsoft latest capabilities in sharepoint (such as power bi). we introduced saas model using microsoft power bi and embed into the web application,"legacy application, enterprise analytics","sharepoint online, power bi, power apps, react.js, spfx",sn183_hme_case study_data migration & bi platform.pptx
184,enterprise,hme,"client is a global leader that designs, manufactures, sells & services hospitality & speciality communication systems for a variety of niche markets in over 140 countries worldwide.",electrical appliance manufacturing,application modernization,middleware solution for two legacy systems,"client was looking for synchronization of two order information systems, agile plm and microsoft ax 2012. nitor developed c#.net-based middleware solution to synchronize the order information that helped show the real-time information","information systems, middleware solution","java 11, .net 5, angular 11, ms sql server 14, iis, microsoft ax 2012, ax integration framework (aif), agile plm client",sn184_hme_case study_middleware solution for two legacy systems.pptx
185,enterprise,hme,"client is a global leader that designs, manufactures, sells & services hospitality & speciality communication systems for a variety of niche markets in over 140 countries worldwide.",electrical appliance manufacturing,web application development,web-based order planning from ax 2012,client wanted a solution order planning from old ax system to microsoft ax 2012 r3 for accessing order details for inventory & shipment planning. nitor developed a 4-tier web and data solution that avoided any direct connections with ax. the development of the web application was based on angular 11 and .net apis to read data from replicated database,"order planning solution, inventory & shipment planning",".net 5, angular 11, ms sql server 14, sql replication, sql jobs, microsoft ax 2012, aot, aif",sn185_hme_case study_web-based order planning from ax 2012.pptx
186,isv,dodge data & analytics,"client provides essential data, news, insights, and intelligence to better inform construction professionals' decisions and strengthen their market position.",construction,application development,bulk report image processing and printing for data analytics company,"client was looking to process its large number of daily reports in image format before they get generated in pdf format. nitor team had developed an application in python, which effectively enhanced the image quality and also merged the different images in sequence with the updated client information.","image processing, image quality","python, open cv, tensor flow",sn186_dodge data & analytics_case study_bulk report image processing & printing.pptx
187,isv,dodge data & analytics,"client provides essential data, news, insights, and intelligence to better inform construction professionals' decisions and strengthen their market position.",construction,application migration,infrastructure automation,client wanted to have a seamless migration of its infrastructure from old to new using automation with minimal downtime & impact. nitor deployed 500+ ec2 instances in aws using the web console and converted infrastructure to code using terraform.,"infrastructure migration, infrastructure automation","aws, terraform, aws ec2",sn187_dodge data & analytics_case study_infrastructure automation.pptx
188,isv,dodge data & analytics,"client provides essential data, news, insights, and intelligence to better inform construction professionals' decisions and strengthen their market position.",construction,application migration,technology upgradation using java,"client wanted to migrate from old server-based hosting to aws cloud-based hosting and automate the existing manual testing process for apis to reduce the efforts spent. therefore, nitor developed apis/microservices to accommodate this business needs and integrated aws using sso. we also developed workflows for integrated application and performed api test automation","cloud hosting, api test automation sso, microservices, workflows","aws, java 8 sdk, amazon aws (cognito), gradle, spring boot, angular 6, jenkins, bitbucket, sonarqube, junit 4, mockito framework, postman, selenium, karate, protactor",sn188_dodge data & analytics_case study_technology upgradation using java.pptx
189,isv,dodge data & analytics,"client provides essential data, news, insights, and intelligence to better inform construction professionals' decisions and strengthen their market position.",construction,data engineering,fuzzy text matching implementation for data analytics company,"client had its existing system where they were facing challenges in data duplication & inaccuracy. nitor's expert data engineering team implemented data fuzzy de-duplication technique on the database where all the vital data had been stored by the client. this technique helped in identifying the duplicate data depending on the nlp-based scores. this benefitted the client in eradicating manual process for identifying the duplicate records which saved the significant time and cost, and also improved the search functionality performance by 80+%.","data duplication & inaccuracy, data engineering, data fuzzy de-duplication technique, nlp, seach functionality performance","python, elastic search, nlp",sn189_dodge data & analytics_case study_fuzzy text matching implmentation.pptx
190,,nhp,,,power platform,dashboards solution,client was looking to migrate its existing tableau reports to power bi for cutting down the liscencing costs. nitor did a detailed analysis of these reports and integrated the heterogenous data sources into a single dataset and created a single dashboard that could answer client's multiple business questions. we also introduced role-based access and row-level security to avoid data exposure to unintended audience.,"reports, dashboards, heterogeneous data sources, role-based access, row-level security","tableau, power bi, sharepoint",nitor_nhp_case study_dashboards solution.pptx
191,,passage ai,"client�provides the ai, nlu/p technology as well as the bot building tools to create a conversational interface for your business.",software,application development,customer experience solution�?,helped the client build a platform for building bots by developing a ui/ux tool and provided devops support ,"ui/ux, devops, bot",,nitor_passage ai_case study_customer experience solution.pptx
192,,bajaj auto,client is one of the india's largest exporter of automotive vehicles and their parts to 70+ countires,automobile,workflow automation,milkrun supply chain automation,"developed a modern-age application to track their milk run supply chain by enabling real-time monitoring of milk running vehicles, transparent vehicle tracking & material visibility, improved production planning","supply chain logistics, centralized automated application, logistics procurement process, material visibility, production line planning, ",,nitor_bajaj auto_case study_milk run supply chain automation.pdf
193,,consilink,leading us-based organization that provides cloud-based data services and analytics to support technology-enabled healthcare innovation.,healthcare,business intelligence,bi solution to analytics solution provider,nitor provided the customer with business intelligence & analytics solution by generating pay for performance reports. nitor also performed manual testing on the customer's existing business solutions,"business intellignce & analytics, pay for performance, manual testing",,nitor customers' case studies_v1.0.pptx
194,,nutech energy,"client is a leading provider of reservoir evaluation, characterization & analytics to oil & gas industry with usp of providing integrated reservoir analytics",oil & gas,web application development,homegrown hi-tech product development for a global oilfield service company,"nitor recommended & developed a homegrown product to meet the client's business need of reservoir evaluation, petrophysical analysis, geological modelling of different well reservoirs, etc. the developed consisted of features like map window, wells selection & wells data & cross sections of wells along with other general features like user rights & administrative controls and user account administration","product development, reservoir, petrophysical analysis, geological modelling, map window, cross-section, user rights, user account administration",,nitor_nutech energy_case study_homegrown hi-tech product development.pdf
195,,blue star,"client is an indian multinational home appliances company, headquartered in mumbai. it specializes in air conditioning, commercial refrigeration and mep.",electronics manufacturing,mobile application development,digitization of overall sales process to improve efficiency�?,"client was facing challenges in tracking their field sales process like non-visibility of the sales activity, siloed reports from area managers, missing insights on customer satisfaction. hence, client wanted to digitize this process for which nitor developed a mobile application to capture 60+ kpis to monitor client's sales process. this helped the client in improved transparency amongst the stakeholders and keep traction of lost sales","field sales, siloed reports, customer satisfaction, mobile application, sales process",,bsl starbot case study.pptx
